price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,year,month,price_per_sqft,mean_price_per_sqft_city,city_Bellevue,city_Federal Way,city_Issaquah,city_Kent,city_Kirkland,city_Other,city_Redmond,city_Renton,city_Sammamish,city_Seattle,statezip_WA 98006,statezip_WA 98034,statezip_WA 98042,statezip_WA 98052,statezip_WA 98053,statezip_WA 98059,statezip_WA 98074,statezip_WA 98103,statezip_WA 98115,statezip_WA 98117
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,2014,5,233.5820895522388,230.5479811065508,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153093.75,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,2014,5,315.916095890411,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,2014,5,177.2020725388601,152.42525475056954,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,2014,5,210.0,287.6650427235868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,2014,5,283.50515463917526,269.8956532826571,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,2014,5,556.8181818181819,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,2014,5,248.14814814814815,269.8956532826571,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
482000.0,4.0,2.5,2710,20002,2.0,0,0,3,2710,0,1989,0,2014,5,177.85977859778598,161.29826225906322,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452500.0,3.0,2.5,2430,20002,1.0,0,0,4,1570,860,1985,0,2014,5,186.21399176954733,200.24340984263807,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,2014,5,421.05263157894734,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,2014,5,270.7602339181287,197.22819447837773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153093.75,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,2014,5,394.8951198630137,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,2014,5,252.57510729613733,239.2224326860007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,2014,5,334.86238532110093,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1153093.75,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,2014,5,396.25214776632305,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,2014,5,202.08333333333334,152.42525475056954,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,2014,5,266.8789808917197,287.6650427235868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,2014,5,118.16720257234726,148.5158399485815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,2014,5,188.28467153284672,168.26053913175818,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,2014,5,233.05084745762713,200.24340984263807,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,2014,5,334.82142857142856,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,2014,5,300.0,287.6650427235868,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,2014,5,357.7142857142857,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,2014,5,224.35897435897436,207.57227593415206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,2014,5,309.375,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,2014,5,136.36363636363637,142.1606686658162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,2014,5,260.59322033898303,300.4097546482954,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,2014,5,317.27272727272725,274.9435762362213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
